code,name,address,city,email,web_page,contact_person,phone,company_profile,total_revenue_2023,profit_before_tax,equity,total_liabilities,total_assets,market_capitalization,hv_isin,hv_total
ADIN,Адинг АД  Скопје,ул. Новоселски пат (1409) број 11,Скопје,ading@ading.com.mk,http://www.ading.com.mk,Антонио Спасевски,+389 2 32 39 257,"АДИНГ е водечка компанија во Југоисточна Европа за производство и пласман на хемиски материјали за градежништвото, основана во1969 година. Седиштето на матичната компанија и најголемиот производствен погон се наоѓаат во Скопје, Р.Македонија, а со свои претставништва и дистрибутери е присутна на повеќе од 13 пазари од регионот на Југоисточна Европа, Блискиот Исток и Азија. Компанијата е присутна со свои производствени погони и во Р.Бугарија и Р.Иран, додека свои фирми претставништва има во Р.Србија, Р.Казахстан и Р.Грција. Производствената програма ја сочинуваат повеќе од 100 производи кои нудат решенија за најспецифични проблеми со кои се соочува модерното градежништво. Речиси 60% од производството на компанијата денес се пласира на надворешните пазари, па оттука и големиот број на референтни објекти на овие пазари каде се вградени производите и технологиите на АДИНГ. Целата групација АДИНГ, денес има повеќе од 150 вработени од кои околу 90 вработени се во матичната компанија, а останатите во компаниите членки на групацијата во Р.Македонија и светот. АДИНГ е инженерска компанија со повеќе од 40% градежни инженери, архитекти, хемиски инженери, технолози и други високостручни профили.",678.145,159.890,492.293,153.742,646.035,386.400,MKADIN101010,386.400
ALK,Алкалоид АД Скопје,бул. Александар Македонски бр.12,Скопје,alkaloid@alkaloid.com.mk,http://www.alkaloid.com.mk,Виктор Стојчевски,+389 2 3 104 007,"Алкалоид АД Скопје е компанија која работи на производство на лекови, преработка на билни суровини и производство на козметички и хемиски производи. Компанијата нуди неколку илјади различни фармацевтски, хемиски, козметички  и прехрамбени продукти, и се исто така активно инволвирани во пронаоѓање и воведување на нови производи.Подружниците на Алкалоид АД Скопје се лоцирани во Русија, Швајцарија, Словенија, Хрватска, Србија, Црна Гора и Бугарија.",16.512.978,1.576.905,13.791.033,6.162.876,19.953.909,25.985.570,MKALKA101011,1.431.353
ALKB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKALKB101010,5.000
AMBR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKAMBR101012,500
AMEH,Агромеханика АД Скопје,ул. Ристо Шишков бр. 24/2,Скопје,info@agromehanika.eu.mk,http://www.agromehanika.eu.mk,Љубомир Стојановски,+389 2 3229 642,Издавање и управување со сопствен недвижен имот или недвижен имот земен под закуп (лизинг).,0,-180,21.177,1.150,22.327,12.144,MKAGME101012,40.481
APTK,Ангропромет Тиквешанка АД Кавадарци,ул. Индустриска бр. 15,Кавадарци,/,/,Влатко Панов,+389 70 324 797,"Основна дејност на АНГРОПРОМЕТ - ТИКВЕШАНКА – Кавадарци е изнајмување и давање под закуп (лизинг) на останати машини, опрема и материјални добра неспоменати на друго место. АНГРОПРОМЕТ - ТИКВЕШАНКА – Кавадарци врши услуги во делот на угостителството со организирање свечености, свадби и веселби во своите угостителски објекти. Друштвото врши услуги и преку издавање на магацински деловен простор, како и услуги на издавање деловен простор ладилник. Исто така, АНГРОПРОМЕТ - ТИКВЕШАНКА – Кавадарци издава и машини и опрема за утовар и истовар на стока.",65.546,11.913,162.581,26.959,189.540,15.122,MKAPTK101016,20.162
ATPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,
AUMK,Аутомакедонија АД Скопје,Ул. 16-та Македонска бригадаN/A,N/A,N/A,N/A,MKATPP101011,12.945 бр. 2,Скопје,/,http://www.automakedonija.com.mk/,Христина Ружиновска,+389 2 3103 130,Основната дејност на друштвото е трговија со моторни возила и трговија на мало со делови за моторни возила.,516.151,26.635,377.848,318.090,695.937,243.461,MKAUMK101016,82.529
BANA,Рудници Бањани АД Скопје,"с. Кучевиште, Чучер Сандево",Скопје,/,/,Аница Пецевска Рајчиќ,+389 2 2666021,"Основна дејност на издавачот е вадење на декоративен камен за градежништво, суров гипс, креда и шкрилци. Главни производи се сепариран и микронизиран варовник во најразлични фракции. Главни услуги на издавачот се: бушење, минирање и транспорт.",73.693,4.494,161.634,5.555,167.189,39.498,MKBANI101012,65.502
BGOR,Кристал 1923 АД Велес,ул. Алексо Демниевски-Баумар бр. 18,Велес,contact@kristal.com.mk,http://www.kristal.com.mk/,Горанчо Лазов,+389 43 233 855,Прехрамбената индустрија “Кристал 1923” АД од Велес започнува со работа во 1923 година и како фабрика за масло работи до 1999 година кога е трансформирана во Прехрамбена индустрија поради широкиот асортиман на прехрамбени производи во сопствено производство. Друштвото до 2020 година работеше по називот Благој Ѓорев АД Велес,821.362,5.742,536.533,346.111,882.644,81.528,MKBLAG101016,516.000
